"id","brewery_id","name","cat_id","style_id","abv","ibu","srm","upc","filepath","descript","last_mod"
"1","812","Hocus Pocus","11","116","4.5","0","0","0",,"Our take on a classic summer ale.  A toast to weeds, rays, and summer haze.  A light, crisp ale for mowing lawns, hitting lazy fly balls, and communing with nature, Hocus Pocus is offered up as a summer sacrifice to clodless days.

Its malty sweetness finishes tart and crisp and is best apprediated with a wedge of orange.","2010-07-22 20:00:20"
"2","264","Grimbergen Blonde","-1","-1","6.7","0","0","0",,,"2010-07-22 20:00:20"
"3","779","Widdershins Barleywine","-1","-1","9.1","0","0","0",,,"2010-07-22 20:00:20"
"4","287","Lucifer","-1","-1","8.5","0","0","0",,,"2010-07-22 20:00:20"
"5","1056","Bitter","-1","-1","4","0","0","0",,,"2010-07-22 20:00:20"
"6","1385","Winter Warmer","1","13","5.2","0","0","0",,,"2010-07-22 20:00:20"
"7","1099","Winter Welcome 2007-2008","-1","-1","6","0","0","0",,,"2010-07-22 20:00:20"
"8","1099","Oatmeal Stout","3","42","5","0","0","0",,,"2010-07-22 20:00:20"
"9","501","Espresso Porter","-1","-1","0","0","0","0",,,"2010-07-22 20:00:20"
"10","545","Chocolate Stout","3","42","0","0","0","0",,,"2010-07-22 20:00:20"
"11","742","Hitachino Nest Real Ginger Brew","-1","-1","7","0","0","0",,,"2010-07-22 20:00:20"
"12","779","JuJu Ginger","-1","-1","4","0","0","0",,,"2010-07-22 20:00:20"
"13","545","The Kidd Lager","7","86","0","0","0","0",,,"2010-07-22 20:00:20"
"14","1099","Imperial Stout","3","42","7","0","0","0",,,"2010-07-22 20:00:20"
"15","1315","Oak-Aged Belgian Tripel","-1","-1","9","0","0","0",,,"2010-07-22 20:00:20"
"16","168","Ultrablonde","-1","-1","8","0","0","0",,,"2010-07-22 20:00:20"
"17","1023","Wiesen Edel Weisse","4","50","6.2","0","0","0",,,"2010-07-22 20:00:20"
"18","39","Old Foghorn 2001","-1","-1","10","0","0","0",,,"2010-07-22 20:00:20"
"19","196","Framboise","-1","-1","6","0","0","0",,,"2010-07-22 20:00:20"
"20","483","Cow Palace Scotch Ale 1998","1","15","8.7","0","0","0",,,"2010-07-22 20:00:20"
"21","1142","Bigfoot 2001","-1","-1","9.6","0","0","0",,,"2010-07-22 20:00:20"
"22","1142","Bigfoot 2002","-1","-1","9.6","0","0","0",,,"2010-07-22 20:00:20"
"23","1142","Bigfoot 2003","-1","-1","9.6","0","0","0",,,"2010-07-22 20:00:20"
"24","1142","Bigfoot 2004","-1","-1","9.6","0","0","0",,,"2010-07-22 20:00:20"
"25","1142","Bigfoot 2005","-1","-1","9.6","0","0","0",,,"2010-07-22 20:00:20"
"26","1220","Winter Ale","1","13","5.9","0","0","0",,,"2010-07-22 20:00:20"
"27","878","Full Moon Winter Ale","5","72","5.6","0","0","0",,"This full-bodied ale is brewed with roasted malts and a hint of Dark Belgian sugar for a perfectly balanced taste.","2010-07-22 20:00:20"
